x,y,type,id,sz
1152,1152,0,0,0
216,1320,1,1,2
624,496,1,1,2
208,680,1,1,2
1160,856,0,0,0
880,1176,1,0,1
608,904,1,0,1
1152,216,1,0,0
264,200,1,0,0
632,1440,1,0,0
904,920,1,0,0
1232,424,0,0,0
608,1176,0,0,0
880,168,0,0,0
928,288,0,0,0
832,216,0,0,0
1576,984,0,0,0
1312,368,0,0,0
1352,200,0,0,0
1424,536,0,0,0
1072,592,0,0,0
1424,736,0,0,0
1256,592,0,0,0
1368,864,0,0,0
1064,440,0,0,0
1568,256,0,0,0
1432,680,0,0,0
1184,1120,2,0,0
1440,800,0,0,0
1040,488,0,0,0
224,400,1,0,1
1048,744,0,0,0
1048,240,0,0,0
1248,664,1,0,0
296,1064,0,0,0
536,288,1,0,0
896,1472,1,0,0
1200,896,0,0,0
1128,408,0,0,0
592,1144,0,0,0
760,1336,0,0,0
736,1208,0,0,0
744,288,0,0,0
616,1312,0,0,0
1344,904,0,0,0
1424,360,1,0,0
1600,448,0,0,0
1008,680,0,0,0
